Test passed.
1 , 3 , ['1', '0', '.']
7 , 6 , ['1', '2', '5', '4', '7', '8']
26 , 6 , ['1', '3', '5', '4', '6', '8']
35 , 6 , ['1', '2', '5', '4', '7', '8']
42 , 6 , ['0', '3', '2', '5', '9', '8']
65 , 6 , ['1', '3', '5', '4', '6', '8']
70 , 6 , ['1', '2', '5', '4', '7', '8']
252 , 6 , ['3', '2', '5', '6', '9', '8']
256 , 6 , ['0', '3', '2', '5', '6', '9']
260 , 6 , ['1', '3', '5', '4', '6', '8']
308 , 6 , ['3', '2', '5', '4', '7', '6']
309 , 6 , ['3', '2', '5', '4', '6', '9']
325 , 6 , ['0', '3', '2', '7', '6', '9']
350 , 6 , ['1', '2', '5', '4', '7', '8']
420 , 6 , ['0', '3', '2', '5', '9', '8']
468 , 6 , ['1', '3', '2', '5', '7', '6']
525 , 6 , ['1', '0', '4', '7', '6', '9']
572 , 6 , ['1', '2', '5', '4', '7', '8']
605 , 6 , ['1', '2', '5', '6', '9', '8']
650 , 6 , ['1', '3', '5', '4', '6', '8']
700 , 6 , ['1', '2', '5', '4', '7', '8']
717 , 6 , ['1', '0', '3', '4', '7', '9']
803 , 6 , ['1', '0', '3', '2', '5', '4']
975 , 6 , ['1', '0', '2', '5', '4', '6']
